1	6.463387063
6	0
11	6.463387063
16	0
21	0
26	6.463387063
31	6.463387063
36	6.463387063
41	6.463387063
46	12.92677413
51	122.8043542
56	361.9496755
61	504.1441909
66	452.4370944
71	342.5595143
76	239.1453213
81	161.5846766
86	103.414193
91	71.09725769
96	51.7070965
101	38.78032238
106	32.31693531
111	25.85354825
116	12.92677413
121	12.92677413
126	12.92677413
131	6.463387063
136	12.92677413
141	12.92677413
146	12.92677413
151	6.463387063
156	0
161	0
166	6.463387063
171	6.463387063
176	6.463387063
181	6.463387063
186	6.463387063
191	6.463387063
196	0
201	0
206	6.463387063
211	6.463387063
216	6.463387063
221	0
226	0
231	0
236	0
