1	0
6	0
11	0
16	0
21	0
26	0
31	0
36	0
41	0
46	6.463387063
51	71.09725769
56	316.7059661
61	510.607578
66	497.6808038
71	374.8764496
76	252.0720955
81	174.5114507
86	103.414193
91	71.09725769
96	51.7070965
101	38.78032238
106	25.85354825
111	25.85354825
116	19.39016119
121	6.463387063
126	12.92677413
131	6.463387063
136	6.463387063
141	6.463387063
146	0
151	6.463387063
156	0
161	6.463387063
166	0
171	0
176	6.463387063
181	6.463387063
186	6.463387063
191	6.463387063
196	0
201	0
206	6.463387063
211	0
216	0
221	0
226	0
231	0
236	6.463387063
